STT,SYS_DATETIME,NE_NAME,DEVICE_CODE,BEARER_MME_UTIL,BEARER_4G,CREATE_DEDICATED_BEARER_SR,CSFB_SR,DEDICATED_BEARER_MME,EASR,INTRA_TAU_SR,PGW_BEARER_SR,PGW_BEARER_UTIL,S1_INTRA_HANDOVER_SR,S1_PAGGING_SR,SAU_4G,SAU_UTIL_4G,SERVICE_REQUEST_SR,SGW_BEARER_SR,SG_LU_SR,SMS_PAGGING_SR,THROUGHPUT_4G,THROUGHPUT_UTIL,NO_PGW_IMS_BEARER,NO_PGW_IMS_SUBS,NO_PGW_SUBS,SYS_DATE,SYS_TIME
61384,2026-08-01 00:00:00,NE_000001,DEV_000001,,2638132.920700015,,,,,,100.88304308275298,54.70843638551511,,,,,,101.73626568513609,,,49377.18475099709,35.66316997919216,1235235.6541906777,1195735.9619472933,1658253.389748625,2026-08-01,00:00:00
61169,2026-08-01 01:00:00,NE_000001,DEV_000001,,2478422.468104305,,,,,,99.60530232418529,54.764248616998195,,,,,,103.55896187846034,,,30587.719640361553,20.099136526729048,1200685.068212945,1181936.2709524122,1621002.6770422193,2026-08-01,01:00:00
60762,2026-08-01 02:55:00,NE_000001,DEV_000001,,2417266.417945167,,,,,,98.42731891825204,54.23605538172696,,,,,,95.77320863702435,,,15843.226276255698,10.530612433729978,1265489.2578662727,1176243.3949110347,1687823.1341931836,2026-08-01,02:55:00
60601,2026-08-01 03:40:00,NE_000001,DEV_000001,,2375837.1721821125,,,,,,99.85789962092664,54.209061009074816,,,,,,104.18439488708643,,,13351.94916879846,8.915450660770269,1188487.8513630307,1248136.0517033883,1707786.6775857003,2026-08-01,03:40:00
60179,2026-08-01 05:40:00,NE_000001,DEV_000001,,2277935.2937924345,,,,,,102.60167656684675,50.67881140590613,,,,,,102.41832711714217,,,31194.497572203483,20.215695090447877,1258541.1819191233,1223553.773696694,1732751.9660457934,2026-08-01,05:40:00
60145,2026-08-01 05:50:00,NE_000001,DEV_000001,,2432601.3475108887,,,,,,95.39709716708497,55.68440040065599,,,,,,100.75398309597256,,,33437.84680610342,23.08871030327338,1261338.8078450614,1202810.1530949892,1762295.4085750207,2026-08-01,05:50:00
59980,2026-08-01 06:35:00,NE_000001,DEV_000001,,2610610.2087794496,,,,,,100.88848192365745,54.28275526019989,,,,,,100.72060869887616,,,48109.15710436097,31.714547887474552,1227662.0231616006,1342913.3874917806,1796024.3810625821,2026-08-01,06:35:00
59886,2026-08-01 07:00:00,NE_000001,DEV_000001,,2544473.993235086,,,,,,104.30488911413397,55.14337154294311,,,,,,96.24916863162822,,,56131.99195602629,37.15393563547983,1335253.9058542228,1250614.878496234,1686584.283150509,2026-08-01,07:00:00
59709,2026-08-01 07:50:00,NE_000001,DEV_000001,,2535229.883296887,,,,,,96.39982179832147,58.90690186344874,,,,,,98.8714184659272,,,66369.90335452753,45.31471075106864,1337727.985228162,1254758.384581129,1742335.427837663,2026-08-01,07:50:00
59279,2026-08-01 09:50:00,NE_000001,DEV_000001,,2759149.4997980096,,,,,,99.25096079769193,58.88024257282947,,,,,,95.69166304749281,,,76433.28455119969,50.02091787252152,1313420.552188878,1263162.1141283778,1799359.0751923055,2026-08-01,09:50:00
58572,2026-08-01 13:05:00,NE_000001,DEV_000001,,2644653.403593211,,,,,,99.46471275295303,63.790320020528895,,,,,,100.30201140607126,,,73454.44183080888,53.218224429968615,1233622.1673094367,1228280.310189505,1713173.1232586096,2026-08-01,13:05:00
58495,2026-08-01 13:25:00,NE_000001,DEV_000001,,2723910.218307568,,,,,,97.91407986424844,58.58074539851432,,,,,,103.99956687636909,,,75712.94041675553,51.15735290700097,1254126.1584729454,1264649.7338597798,1818149.8962202044,2026-08-01,13:25:00
58427,2026-08-01 13:45:00,NE_000001,DEV_000001,,2867613.4256509286,,,,,,101.35015742689751,63.237025070171576,,,,,,102.55860125836129,,,72324.8781653421,50.38527048752143,1238555.7187766081,1317599.7841913537,1726368.7061691568,2026-08-01,13:45:00
57947,2026-08-01 16:00:00,NE_000001,DEV_000001,,2879525.9431615216,,,,,,95.50458237096042,60.085470854060006,,,,,,96.6772097470971,,,76027.50292861616,49.43610529129724,1341189.8482519179,1351581.9160057078,1820621.3810402828,2026-08-01,16:00:00
57872,2026-08-01 16:20:00,NE_000001,DEV_000001,,2749606.564096619,,,,,,100.17663819723396,58.194933036054685,,,,,,98.47927210625808,,,76917.45126301494,52.952691765575985,1368824.1509133028,1358093.554548083,1708793.8955025391,2026-08-01,16:20:00
57821,2026-08-01 16:35:00,NE_000001,DEV_000001,,2659365.684878209,,,,,,103.30074673877387,59.50627848422144,,,,,,100.27414102376397,,,74168.07642942459,50.71392625938119,1368783.6975853618,1309606.677321207,1839143.7711843033,2026-08-01,16:35:00
57734,2026-08-01 16:55:00,NE_000001,DEV_000001,,2704717.7727644136,,,,,,100.62359039757102,58.09255673088368,,,,,,99.95250754106907,,,71300.77514907852,52.25410717242495,1300385.6448289917,1290005.308707272,1715768.379219241,2026-08-01,16:55:00
57668,2026-08-01 17:15:00,NE_000001,DEV_000001,,2884480.100771359,,,,,,99.41701562115433,62.020185660028915,,,,,,98.56525246775023,,,71910.00935127879,53.45765416774068,1337602.1649840581,1262151.7401279283,1781681.1452944148,2026-08-01,17:15:00
